Product Type,Product Name,Price,Material,Link,Informations
Pantalons,Pantalon en lin mélangé,"25,99 €","[' Coton', ' Coton recyclé', ' Lin']",https://www2.hm.com/fr_fr/productpage.1209522004.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon cargo en toile,"19,99 €",[' Coton'],https://www2.hm.com/fr_fr/productpage.1083344007.html,['Pays de fabrication\nBangladesh\nInde']
Pantalons,Legging de sport DryMove™,"25,99 €","[' Polyamide', ' Polyamide recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1217181002.html,[]
Pantalons,Pantalon en molleton de coton mélangé,"15,99 €","[' Coton', ' Polyester', ' Viscose']",https://www2.hm.com/fr_fr/productpage.0932722091.html,['Pays de fabrication\nBangladesh']
Pantalons,Pantalon de survêtement avec passepoils,"25,99 €",[' Polyamide'],https://www2.hm.com/fr_fr/productpage.1203817001.html,['Pays de fabrication\nChine']
Pantalons,Pantalon outdoor déperlant,"52,99 €","[' Coton', ' Polyamide', ' Polyamide recyclé', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1162802001.html,['Pays de fabrication\nVietnam']
Pantalons,Pantalon jogger en maille fine,"29,99 €","[' Acrylique', ' Laine', ' Polyamide', ' Polyester', ' Polyester recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1026503004.html,['Pays de fabrication\nChine']
Pantalons,Pantalon droit,"39,99 €","[' Polyester', ' Polyester recyclé', "" Polyester recyclé d'origine textile"", ' Viscose', ' Viscose LivaEco™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1138553014.html,"['Teinture\nChine', 'Tissage\nChine', 'Fabrication\nBangladesh']"
Pantalons,Pantalon jogger en polaire,"19,99 €","[' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1179472002.html,['Pays de fabrication\nCambodge']
Pantalons,Pantalon parachute,"25,99 €","[' Polyamide', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1214225001.html,['Pays de fabrication\nBirmanie']
