Product Type,Product Name,Price,Material,Link,Informations,Pays concernés,Fabrication,Tissage,Pays d’origine du matériau,Pays de fabrication,Impression,Teinture
Pantalons,Pantalon en maille texturée,25.99,"[' Coton', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1237256001.html,['Pays de fabrication\nCambodge'],['Cambodge'],[],[],[],['Cambodge'],[],[]
Pantalons,Pantalon cargo en twill,29.99,[' Coton'],https://www2.hm.com/fr_fr/productpage.1210465002.html,"['Teinture\nBangladesh', 'Tissage\nBangladesh', 'Fabrication\nBangladesh']","['Bangladesh', 'Bangladesh', 'Bangladesh']",['Bangladesh'],['Bangladesh'],[],[],[],['Bangladesh']
Pantalons,Pantalon parachute,25.99,"[' Coton', ' Polyester']",https://www2.hm.com/fr_fr/productpage.1112962011.html,['Pays de fabrication\nBangladesh\nChine'],"['Bangladesh', 'Chine']",[],[],[],"['Bangladesh', 'Chine']",[],[]
Pantalons,Pantalon parachute en lin mélangé,25.99,"[' Lin', ' Viscose', ' Viscose LivaEco™']",https://www2.hm.com/fr_fr/productpage.1224440001.html,"['Pays d’origine du matériau\nBangladesh', 'Pays de fabrication\nBangladesh']","['Bangladesh', 'Bangladesh']",[],[],['Bangladesh'],['Bangladesh'],[],[]
Pantalons,Pantalon froissé,29.99,"[' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1184716003.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon habillé,19.99,"[' Coton biologique', ' Polyester', ' Viscose', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1107363001.html,['Pays de fabrication\nBirmanie\nChine'],"['Birmanie', 'Chine']",[],[],[],"['Birmanie', 'Chine']",[],[]
Pantalons,Pantalon en lin mélangé,25.99,"[' Coton', ' Coton recyclé', ' Lin']",https://www2.hm.com/fr_fr/productpage.1209522007.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon en lin mélangé,29.99,"[' Coton', ' Lin', ' Polyester', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1211992001.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon jogger droit,17.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1128433009.html,"['Teinture\nBangladesh', 'Fabrication\nBangladesh']","['Bangladesh', 'Bangladesh']",['Bangladesh'],[],[],[],[],['Bangladesh']
Pantalons,Pantalon droit,29.99,"[' Polyester', ' Polyester recyclé', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1141498001.html,"['Pays d’origine du matériau\nChine', 'Pays de fabrication\nBangladesh']","['Chine', 'Bangladesh']",[],[],['Chine'],['Bangladesh'],[],[]
Pantalons,Pantalon jogger,15.99,"[' Coton', ' Coton recyclé', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1158561001.html,"['Teinture\nBangladesh', 'Fabrication\nBangladesh\nIndonésie\nCambodge']","['Bangladesh', 'Bangladesh', 'Indonésie', 'Cambodge']","['Bangladesh', 'Indonésie', 'Cambodge']",[],[],[],[],['Bangladesh']
Pantalons,Petite Fit Ultra High Ankle Jeggings,29.99,"[' Coton', ' Coton recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1203096005.html,"['Teinture\nChine', 'Fabrication\nChine']","['Chine', 'Chine']",['Chine'],[],[],[],[],['Chine']
Pantalons,Collant sculptant Taille haute,44.99,"[' Polyamide', ' Polyamide recyclé', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1087339001.html,['Pays de fabrication\nVietnam\nChine'],"['Vietnam', 'Chine']",[],[],[],"['Vietnam', 'Chine']",[],[]
Pantalons,Pantalon parachute,25.99,"[' Polyamide', ' Polyester', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1214225002.html,['Pays de fabrication\nBirmanie'],['Birmanie'],[],[],[],['Birmanie'],[],[]
Pantalons,Pantalon évasé en jersey,15.99,"[' Coton', ' Coton biologique', ' Viscose', ' Viscose LENZING™ ECOVERO™', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1242094002.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Legging de sport DryMove™ 7/8 avec poches,19.99,"[' Polyamide', ' Polyester', ' Élasthanne']",https://www2.hm.com/fr_fr/productpage.1232201002.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
Pantalons,Pantalon en lin mélangé,25.99,"[' Coton', ' Coton recyclé', ' Lin']",https://www2.hm.com/fr_fr/productpage.1209522002.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon cargo en toile,19.99,[' Coton'],https://www2.hm.com/fr_fr/productpage.1083344013.html,"['Teinture\nBangladesh', 'Impression\nBangladesh', 'Tissage\nBangladesh', 'Fabrication\nBangladesh']","['Bangladesh', 'Bangladesh', 'Bangladesh', 'Bangladesh']",['Bangladesh'],['Bangladesh'],[],[],['Bangladesh'],['Bangladesh']
Pantalons,Pantalon cargo ample,39.99,"[' Coton', ' Coton recyclé', ' Polyester recyclé']",https://www2.hm.com/fr_fr/productpage.1193221002.html,['Pays de fabrication\nBangladesh'],['Bangladesh'],[],[],[],['Bangladesh'],[],[]
Pantalons,Pantalon large avec taille élastique,35.99,"[' Coton', ' Viscose']",https://www2.hm.com/fr_fr/productpage.1236474001.html,['Pays de fabrication\nChine'],['Chine'],[],[],[],['Chine'],[],[]
